WENSS-WNB1227,2+44-12+29+39+43+53+19-0,028-0,028-FRI-0
WENSS-WNB1227,4+46-12+29+51+46+1+10-0,045-0,017-FRI-0
WENSS-WNB1227,4+46-12+29+51+45+58+30-0,039-0,01-FRI-0
WENSS-WNB1227,5+45-12+29+59+45+4+25-0,066-0,0124-FRI-0
WENSS-WNB1227,5+44-12+30+0+44+36+55-0,032-0,01286-FRI-0
WENSS-WNB1227,6+45-12+30+3+45+19+23-0,249-0,249-FRI-0
WENSS-WNB1227,6+44-12+30+7+44+18+17-0,04-0,0156-FRI-0
WENSS-WNB1227,8+44-12+30+16+43+49+15-0,185-0,0447-FRI-0
WENSS-WNB1228,0+44-12+30+30+44+11+28-0,033-0,033-FRI-0
WENSS-WNB1228,6+45-12+31+3+45+26+27-0,091-0,0258-FRI-0
WENSS-WNB1228,7+45-12+31+6+45+33+35-0,021-0,006385-FRI-0
WENSS-WNB1228,8+44-12+31+13+44+26+3-0,029-0,029-FRI-0
WENSS-WNB1228,8+46-12+31+18+46+9+38-0,019-0,002-FRI-0
WENSS-WNB1228,9+45-12+31+21+45+28+23-0,125-0,0384-FRI-0
WENSS-WNB1228,9+45-12+31+24+45+11+21-0,161-0,02013-FRI-0
WENSS-WNB1229,0+46-12+31+25+46+2+47-0,116-0,0281-FRI-0
WENSS-WNB1229,1+44-12+31+35+44+4+51-0,022-0,00416-FRI-0
WENSS-WNB1229,2+44-12+31+42+44+31+4-0,042-0,042-FRI-0
WENSS-WNB1229,4+45-12+31+51+45+4+40-0,018-0,0082-FRI-0
WENSS-WNB1229,5+46-12+31+55+45+54+40-0,105-0,01872-FRI-0
WENSS-WNB1229,5+46-12+31+57+45+59+49-0,054-0,013-FRI-0
WENSS-WNB1229,9+45-12+32+22+45+18+2-0,022-0,022-FRI-0
WENSS-WNB1230,1+44-12+32+25+44+11+8-0,013-0,002-FRI-0
WENSS-WNB1230,0+46-12+32+29+46+22+8-0,019-0,019-FRI-0
WENSS-WNB1230,1+44-12+32+31+44+19+48-0,106-0,0408-FRI-0
WENSS-WNB1230,1+44-12+32+31+44+8+52-0,562-0,00354-FRI-0
