WENSS|WNB1018,8+34|10+21+44+34+7+7|0,206|0,07391|Unchecked|0
WENSS|WNB1018,8+34|10+21+45+33+46+21|0,018|0,007|Unchecked|0
WENSS|WNB1018,8+37|10+21+46+36+56+43|0,093|0,00702|Unchecked|0
WENSS|WNB1018,8+37|10+21+47+36+56+47|0,075|0,0173|Unchecked|0
WENSS|WNB1019,0+34|10+21+54+33+47+11|0,035|0,0083|Unchecked|0
WENSS|WNB1019,0+35|10+21+58+35+32+36|0,015|0,0064|Unchecked|0
WENSS|WNB1019,1+35|10+22+0+35+24+8|0,081|0,025|Unchecked|0
WENSS|WNB1019,2+32|10+22+5+32+32+15|0,028|0,028|Unchecked|0
WENSS|WNB1019,2+37|10+22+6+36+56+15|0,014|0,008|Unchecked|0
WENSS|WNB1019,2+37|10+22+7+36+58+36|0,821|0,2786|Unchecked|0
WENSS|WNB1019,2+37|10+22+7+36+58+38|0,806|0,2786|Unchecked|0
WENSS|WNB1019,2+36|10+22+12+36+30+9|0,025|0,0081|Unchecked|0
WENSS|WNB1019,3+34|10+22+14+33+48+36|0,125|0,0384|Unchecked|0
WENSS|WNB1019,4+34|10+22+17+33+52+37|0,022|0,00781|Unchecked|0
WENSS|WNB1019,4+36|10+22+19+36+34+53|0,029|0,0135|Unchecked|0
WENSS|WNB1019,5+34|10+22+23+34+1+31|0,782|0,3013|Unchecked|0
WENSS|WNB1019,5+35|10+22+24+35+35+15|0,49|0,1379|Unchecked|0
WENSS|WNB1019,5+37|10+22+26+37+35+34|0,091|0,091|Unchecked|0
WENSS|WNB1019,5+33|10+22+26+33+4+17|0,039|0,0139|Unchecked|0
WENSS|WNB1019,5+33|10+22+27+33+43+22|0,009|0,0066|Unchecked|0
WENSS|WNB1019,7+32|10+22+32+32+16+39|0,014|0,0038|Unchecked|0
WENSS|WNB1019,7+33|10+22+34+32+49+23|0,018|0,018|Unchecked|0
WENSS|WNB1019,7+33|10+22+37+33+8+44|0,09|0,09|Unchecked|0
USS_D|WNJ1022+3308|10+22+37+33+8+43|0,09|0,09|Unchecked|0
USS_D|WNJ1022+3308|10+22+37+33+8+43|0,0101|0,09|Unchecked|0
WENSS|WNB1019,8+34|10+22+42+34+15+19|0,024|0,0069|Unchecked|0
WENSS|WNB1019,8+33|10+22+42+33+25+42|0,15|0,15|Unchecked|0
WENSS|WNB1019,8+36|10+22+44+35+55+49|0,071|0,00928|Unchecked|0
WENSS|WNB1019,9+34|10+22+48+33+50+56|0,347|0,0801|Unchecked|0
WENSS|WNB1019,9+37|10+22+49+37+25+24|0,031|0,01012|Unchecked|0
WENSS|WNB1019,9+34|10+22+52+34+23+57|0,097|0,097|Unchecked|0
WENSS|WNB1020,0+36|10+22+54+35+46+48|0,121|0,0526|Unchecked|0
WENSS|WNB1020,0+36|10+22+58+35+52+36|0,234|0,0937|Unchecked|0
WENSS|WNB1020,1+36|10+23+2+36+24+1|0,024|0,024|Unchecked|0
WENSS|WNB1020,2+37|10+23+10+36+53+19|0,254|0,072|Unchecked|0
WENSS|WNB1020,2+37|10+23+10+36+53+22|0,295|0,072|Unchecked|0
WENSS|WNB1020,3+35|10+23+14+35+38+22|0,075|0,075|Unchecked|0
WENSS|WNB1020,3+36|10+23+15+36+4+33|0,078|0,078|Unchecked|0
WENSS|WNB1020,3+33|10+23+15+32+57+19|0,022|0,022|Unchecked|0
WENSS|WNB1020,3+37|10+23+16+37+14+4|0,114|0,0291|Unchecked|0
WENSS|WNB1020,4+35|10+23+21+35+0+1|0,021|0,021|Unchecked|0
WENSS|WNB1020,5+36|10+23+24+35+49+58|0,022|0,01257|Unchecked|0
WENSS|WNB1020,5+37|10+23+24+36+58+59|0,031|0,031|Unchecked|0
WENSS|WNB1020,5+34|10+23+25+33+48+56|0,023|0,0151|Unchecked|0
WENSS|WNB1020,5+38|10+23+26+37+46+6|0,071|0,071|Unchecked|0
WENSS|WNB1020,6+33|10+23+33+33+34+52|0,02|0,02|Unchecked|0
WENSS|WNB1020,6+34|10+23+34+34+22+10|0,096|0,096|Unchecked|0
WENSS|WNB1020,7+35|10+23+35+35+22+16|0,164|0,164|Unchecked|0
WENSS|WNB1020,6+37|10+23+36+37+15+18|0,119|0,05|Unchecked|0
WENSS|WNB1020,7+36|10+23+36+35+53+57|0,078|0,078|Unchecked|0
WENSS|WNB1020,7+33|10+23+37+32+46+11|0,057|0,0207|Unchecked|0
WENSS|WNB1020,9+34|10+23+48+34+40+55|0,014|0,00384|Unchecked|0
WENSS|WNB1021,0+33|10+23+52+33+22+4|0,014|0,014|Unchecked|0
WENSS|WNB1021,0+35|10+23+55+35+16+50|0,121|0,121|Unchecked|0
WENSS|WNB1021,1+33|10+23+59+32+49+46|0,019|0,018|Unchecked|0
WENSS|WNB1021,1+33|10+24+0+32+59+9|0,028|0,0105|Unchecked|0
WENSS|WNB1021,2+32|10+24+3+32+16+27|0,256|0,02987|Unchecked|0
WENSS|WNB1021,1+37|10+24+5+37+29+30|0,135|0,0466|Unchecked|0
WENSS|WNB1021,2+37|10+24+8+37+33+38|0,074|0,05007|Unchecked|0
WENSS|WNB1021,3+35|10+24+11+35+32+24|0,239|0,05721|Unchecked|0
WENSS|WNB1021,4+34|10+24+17+34+38+59|0,014|0,00676|Unchecked|0
WENSS|WNB1021,3+37|10+24+17+36+55+44|0,033|0,0093|Unchecked|0
WENSS|WNB1021,4+34|10+24+18+34+10+32|0,023|0,0064|Unchecked|0
WENSS|WNB1021,4+36|10+24+20+36+33+44|0,016|0,0068|Unchecked|0
WENSS|WNB1021,5+33|10+24+23+32+59+53|0,049|0,049|Unchecked|0
WENSS|WNB1021,5+36|10+24+23+35+56+22|0,553|0,157521|Unchecked|0
WENSS|WNB1021,5+33|10+24+24+33+27+14|0,027|0,027|Unchecked|0
WENSS|WNB1021,5+37|10+24+24+37+13+7|0,086|0,0373|Unchecked|0
WENSS|WNB1021,5+37|10+24+26+37+14+21|0,078|0,0206|Unchecked|0
WENSS|WNB1021,5+33|10+24+27+33+21+9|0,033|0,0094|Unchecked|0
WENSS|WNB1021,6+36|10+24+31+36+6+35|0,612|0,1105|Unchecked|0
WENSS|WNB1021,6+35|10+24+31+35+41+2|0,125|0,01632|Unchecked|0
WENSS|WNB1021,6+33|10+24+33+33+38+44|0,05|0,05|Unchecked|0
WENSS|WNB1021,6+37|10+24+35+37+8+11|0,025|0,0079|Unchecked|0
WENSS|WNB1021,8+37|10+24+39+36+48+11|0,145|0,0466|Unchecked|0
WENSS|WNB1021,7+35|10+24+40+35+41+50|0,022|0,0123|Unchecked|0
WENSS|WNB1021,8+35|10+24+42+34+55+15|0,05|0,05|Unchecked|0
WENSS|WNB1021,8+35|10+24+42+34+46+37|0,015|0,0068|Unchecked|0
WENSS|WNB1021,8+37|10+24+43+36+47+18|0,351|0,00089|Unchecked|0
WENSS|WNB1021,8+37|10+24+45+36+46+42|0,205|0,00516|Unchecked|0
WENSS|WNB1021,9+34|10+24+47+34+30+22|0,017|0,0088|Unchecked|0
WENSS|WNB1021,9+33|10+24+49+33+5+9|0,039|0,01992|Unchecked|0
WENSS|WNB1021,9+34|10+24+51+33+56+17|0,041|0,00205|Unchecked|0
WENSS|WNB1021,9+37|10+24+51+37+26+50|0,132|0,0511|Unchecked|0
WENSS|WNB1021,9+37|10+24+52+36+53+23|0,053|0,0097|Unchecked|0
WENSS|WNB1022,0+37|10+24+54+37+17+34|0,018|0,018|Unchecked|0
WENSS|WNB1022,0+37|10+24+58+37+7+57|0,164|0,164|Unchecked|0
WENSS|WNB1022,0+37|10+24+59+37+16+27|0,009|0,003|Unchecked|0
WENSS|WNB1022,1+32|10+25+2+32+17+32|0,195|0,0488|Unchecked|0
WENSS|WNB1022,2+33|10+25+3+32+49+4|0,097|0,0381|Unchecked|0
WENSS|WNB1022,2+37|10+25+7+36+58+55|0,036|0,016|Unchecked|0
WENSS|WNB1022,3+36|10+25+15+36+9+35|0,019|0,0085|Unchecked|0
WENSS|WNB1022,4+34|10+25+17+34+23+6|0,012|0,012|Unchecked|0
WENSS|WNB1022,4+33|10+25+19+33+4+18|0,049|0,0263|Unchecked|0
WENSS|WNB1022,4+32|10+25+19+32+38+50|0,018|0,0088|Unchecked|0
